soil_moisture_vwc,timestamp,hour,doy,month,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,site_name,comid,lat,lon
0.47220337,2025-01-21 21:00:00,21,21,1,-0.7071067811865477,0.7071067811865474,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47206342,2025-01-21 22:00:00,22,21,1,-0.5000000000000004,0.8660254037844384,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47193146,2025-01-21 23:00:00,23,21,1,-0.25881904510252157,0.9659258262890681,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47180736,2025-01-22 00:00:00,0,22,1,0.0,1.0,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4716848,2025-01-22 01:00:00,1,22,1,0.25881904510252074,0.9659258262890683,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4715613,2025-01-22 02:00:00,2,22,1,0.49999999999999994,0.8660254037844387,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47143614,2025-01-22 03:00:00,3,22,1,0.7071067811865475,0.7071067811865476,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47131646,2025-01-22 04:00:00,4,22,1,0.8660254037844386,0.5000000000000001,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47119594,2025-01-22 05:00:00,5,22,1,0.9659258262890683,0.25881904510252074,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47108054,2025-01-22 06:00:00,6,22,1,1.0,6.123233995736766e-17,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47097218,2025-01-22 07:00:00,7,22,1,0.9659258262890683,-0.25881904510252063,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47086394,2025-01-22 08:00:00,8,22,1,0.8660254037844387,-0.49999999999999983,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47075808,2025-01-22 09:00:00,9,22,1,0.7071067811865476,-0.7071067811865475,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47065556,2025-01-22 10:00:00,10,22,1,0.49999999999999994,-0.8660254037844387,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47055352,2025-01-22 11:00:00,11,22,1,0.258819045102521,-0.9659258262890682,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47045732,2025-01-22 12:00:00,12,22,1,1.2246467991473532e-16,-1.0,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4703622,2025-01-22 13:00:00,13,22,1,-0.2588190451025208,-0.9659258262890683,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4702705,2025-01-22 14:00:00,14,22,1,-0.4999999999999998,-0.8660254037844388,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47017574,2025-01-22 15:00:00,15,22,1,-0.7071067811865471,-0.7071067811865479,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47048938,2025-01-22 16:00:00,16,22,1,-0.8660254037844384,-0.5000000000000004,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47037792,2025-01-22 17:00:00,17,22,1,-0.9659258262890683,-0.25881904510252063,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
